epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2989.35,0.98894,0.47264,0.8844,0.94353,0.89787,0.95505,0.55785,1.28173,0.54456,0.96318,0.000247625,0.000247625,0.000247625
83,3024.68,0.9782,0.46947,0.88064,0.96378,0.90138,0.95691,0.58282,1.26565,0.5173,0.96314,0.00023525,0.00023525,0.00023525
84,3059.73,0.9681,0.46368,0.87899,0.96014,0.89923,0.95671,0.57903,1.26745,0.53592,0.96129,0.000222875,0.000222875,0.000222875
85,3095.55,0.95873,0.46,0.88661,0.96086,0.90641,0.95591,0.5795,1.26717,0.53786,0.96896,0.0002105,0.0002105,0.0002105
86,3132.79,0.96835,0.46446,0.87709,0.94892,0.92074,0.95613,0.57361,1.26159,0.53776,0.96093,0.000198125,0.000198125,0.000198125
87,3170.77,0.91998,0.45148,0.87001,0.95405,0.9276,0.95336,0.58027,1.25826,0.52936,0.96413,0.00018575,0.00018575,0.00018575
88,3208.1,0.97009,0.46531,0.87436,0.95383,0.91072,0.95446,0.57864,1.29928,0.52984,0.98519,0.000173375,0.000173375,0.000173375
89,3245.18,0.95434,0.44787,0.87486,0.94912,0.91782,0.95689,0.58733,1.24902,0.52593,0.96402,0.000161,0.000161,0.000161
90,3282.32,0.93189,0.44649,0.87151,0.92971,0.9307,0.95734,0.58862,1.26988,0.52192,0.97384,0.000148625,0.000148625,0.000148625
91,3319.22,0.9231,0.43064,0.87035,0.94566,0.92252,0.96352,0.59107,1.27235,0.52969,0.97095,0.00013625,0.00013625,0.00013625
92,3355.89,0.90512,0.42826,0.86066,0.9451,0.92967,0.96298,0.58898,1.25187,0.52696,0.96439,0.000123875,0.000123875,0.000123875
93,3392.23,0.90701,0.42633,0.86439,0.9281,0.93581,0.96104,0.58777,1.24801,0.53068,0.96754,0.0001115,0.0001115,0.0001115
94,3429.9,0.901,0.41924,0.86317,0.91688,0.93622,0.96214,0.59388,1.26075,0.53378,0.96874,9.9125e-05,9.9125e-05,9.9125e-05
95,3468.74,0.88614,0.41714,0.8544,0.91851,0.94297,0.9632,0.58239,1.27476,0.53798,0.97523,8.675e-05,8.675e-05,8.675e-05
96,3505.19,0.87698,0.41823,0.85313,0.91921,0.9447,0.96221,0.59171,1.24661,0.52863,0.9683,7.4375e-05,7.4375e-05,7.4375e-05
97,3541.19,0.91304,0.42706,0.85827,0.92032,0.93978,0.96062,0.58892,1.26249,0.52624,0.96901,6.2e-05,6.2e-05,6.2e-05
98,3577.4,0.88119,0.40741,0.85939,0.90645,0.93922,0.96195,0.58843,1.27278,0.5308,0.96932,4.9625e-05,4.9625e-05,4.9625e-05
99,3615,0.89605,0.41989,0.86182,0.905,0.93615,0.95822,0.58765,1.2681,0.52714,0.97013,3.725e-05,3.725e-05,3.725e-05
100,3653.99,0.88012,0.40988,0.84953,0.90816,0.93564,0.96206,0.58949,1.26313,0.52484,0.96885,2.4875e-05,2.4875e-05,2.4875e-05
